year	gender	age	education	obs_value
2023	Male	"Age (Youth, adults): 25+"	Education (Aggregate levels): Total	22341.024
2023	Male	"Age (Youth, adults): 25+"	Education (Aggregate levels): Basic	4432.554
2023	Male	"Age (Youth, adults): 25+"	Education (Aggregate levels): Intermediate	9551.204
2023	Male	"Age (Youth, adults): 25+"	Education (Aggregate levels): Advanced	7677.572
2023	Male	"Age (Youth, adults): 25+"	Education (Aggregate levels): Level not stated	679.695
2023	Female	"Age (Youth, adults): 15+"	Education (Aggregate levels): Total	28594.173
2023	Female	"Age (Youth, adults): 15+"	Education (Aggregate levels): Basic	7026.111
2023	Female	"Age (Youth, adults): 15+"	Education (Aggregate levels): Intermediate	10526.974
2023	Female	"Age (Youth, adults): 15+"	Education (Aggregate levels): Advanced	9868.19
2023	Female	"Age (Youth, adults): 15+"	Education (Aggregate levels): Level not stated	1172.898
2023	Female	"Age (Youth, adults): 15-64"	Education (Aggregate levels): Total	20629.858
2023	Female	"Age (Youth, adults): 15-64"	Education (Aggregate levels): Basic	3867.288
2023	Female	"Age (Youth, adults): 15-64"	Education (Aggregate levels): Intermediate	8002.181
2023	Female	"Age (Youth, adults): 15-64"	Education (Aggregate levels): Advanced	8409.696
2023	Female	"Age (Youth, adults): 15-64"	Education (Aggregate levels): Level not stated	350.693
2023	Female	"Age (Youth, adults): 15-24"	Education (Aggregate levels): Total	3690.674
2023	Female	"Age (Youth, adults): 15-24"	Education (Aggregate levels): Basic	1480.196
2023	Female	"Age (Youth, adults): 15-24"	Education (Aggregate levels): Intermediate	1526.461
2023	Female	"Age (Youth, adults): 15-24"	Education (Aggregate levels): Advanced	637.349
2023	Female	"Age (Youth, adults): 15-24"	Education (Aggregate levels): Level not stated	46.668
2023	Female	"Age (Youth, adults): 25+"	Education (Aggregate levels): Total	24903.499
2023	Female	"Age (Youth, adults): 25+"	Education (Aggregate levels): Basic	5545.915
2023	Female	"Age (Youth, adults): 25+"	Education (Aggregate levels): Intermediate	9000.513
2023	Female	"Age (Youth, adults): 25+"	Education (Aggregate levels): Advanced	9230.841
2023	Female	"Age (Youth, adults): 25+"	Education (Aggregate levels): Level not stated	1126.23
2023	Total	"Age (Youth, adults): 15+"	Education (ISCED-11): Total	54781.868
2023	Total	"Age (Youth, adults): 15+"	Education (ISCED-11): 1. Primary education	3861.075
2023	Total	"Age (Youth, adults): 15+"	Education (ISCED-11): 2. Lower secondary education	9230.923
2023	Total	"Age (Youth, adults): 15+"	Education (ISCED-11): 3. Upper secondary education	21593.871
2023	Total	"Age (Youth, adults): 15+"	Education (ISCED-11): 4. Post-secondary non-tertiary education	95.817
2023	Total	"Age (Youth, adults): 15+"	Education (ISCED-11): 5. Short-cycle tertiary education	6256.258
2023	Total	"Age (Youth, adults): 15+"	Education (ISCED-11): 6. Bachelor's or equivalent level	5560.695
2023	Total	"Age (Youth, adults): 15+"	Education (ISCED-11): 7. Master's or equivalent level	5779.178
2023	Total	"Age (Youth, adults): 15+"	Education (ISCED-11): 8. Doctoral or equivalent level	485.349
2023	Total	"Age (Youth, adults): 15+"	Education (ISCED-11): 9. Not elsewhere classified	1918.702
2023	Total	"Age (Youth, adults): 15-64"	Education (ISCED-11): Total	40527.469
2023	Total	"Age (Youth, adults): 15-64"	Education (ISCED-11): 1. Primary education	951.291
2023	Total	"Age (Youth, adults): 15-64"	Education (ISCED-11): 2. Lower secondary education	7006.25
2023	Total	"Age (Youth, adults): 15-64"	Education (ISCED-11): 3. Upper secondary education	16624.778
2023	Total	"Age (Youth, adults): 15-64"	Education (ISCED-11): 4. Post-secondary non-tertiary education	67.831
2023	Total	"Age (Youth, adults): 15-64"	Education (ISCED-11): 5. Short-cycle tertiary education	5121.518
2023	Total	"Age (Youth, adults): 15-64"	Education (ISCED-11): 6. Bachelor's or equivalent level	4649.42
2023	Total	"Age (Youth, adults): 15-64"	Education (ISCED-11): 7. Master's or equivalent level	5087.317
2023	Total	"Age (Youth, adults): 15-64"	Education (ISCED-11): 8. Doctoral or equivalent level	373.838
2023	Total	"Age (Youth, adults): 15-64"	Education (ISCED-11): 9. Not elsewhere classified	645.227
2023	Total	"Age (Youth, adults): 15-24"	Education (ISCED-11): Total	7537.345
2023	Total	"Age (Youth, adults): 15-24"	Education (ISCED-11): 1. Primary education	51.459
2023	Total	"Age (Youth, adults): 15-24"	Education (ISCED-11): 2. Lower secondary education	3062.071
2023	Total	"Age (Youth, adults): 15-24"	Education (ISCED-11): 3. Upper secondary education	3136.648
2023	Total	"Age (Youth, adults): 15-24"	Education (ISCED-11): 4. Post-secondary non-tertiary education	1.322
2023	Total	"Age (Youth, adults): 15-24"	Education (ISCED-11): 5. Short-cycle tertiary education	414.244
2023	Total	"Age (Youth, adults): 15-24"	Education (ISCED-11): 6. Bachelor's or equivalent level	608.114
2023	Total	"Age (Youth, adults): 15-24"	Education (ISCED-11): 7. Master's or equivalent level	149.55
2023	Total	"Age (Youth, adults): 15-24"	Education (ISCED-11): 8. Doctoral or equivalent level	1.16
2023	Total	"Age (Youth, adults): 15-24"	Education (ISCED-11): 9. Not elsewhere classified	112.777
2023	Total	"Age (Youth, adults): 25+"	Education (ISCED-11): Total	47244.523
2023	Total	"Age (Youth, adults): 25+"	Education (ISCED-11): 1. Primary education	3809.616
2023	Total	"Age (Youth, adults): 25+"	Education (ISCED-11): 2. Lower secondary education	6168.852
2023	Total	"Age (Youth, adults): 25+"	Education (ISCED-11): 3. Upper secondary education	18457.222
2023	Total	"Age (Youth, adults): 25+"	Education (ISCED-11): 4. Post-secondary non-tertiary education	94.495
2023	Total	"Age (Youth, adults): 25+"	Education (ISCED-11): 5. Short-cycle tertiary education	5842.014
2023	Total	"Age (Youth, adults): 25+"	Education (ISCED-11): 6. Bachelor's or equivalent level	4952.582
2023	Total	"Age (Youth, adults): 25+"	Education (ISCED-11): 7. Master's or equivalent level	5629.628
2023	Total	"Age (Youth, adults): 25+"	Education (ISCED-11): 8. Doctoral or equivalent level	484.189
2023	Total	"Age (Youth, adults): 25+"	Education (ISCED-11): 9. Not elsewhere classified	1805.925
2023	Male	"Age (Youth, adults): 15+"	Education (ISCED-11): Total	26187.696
2023	Male	"Age (Youth, adults): 15+"	Education (ISCED-11): 1. Primary education	1589.614
2023	Male	"Age (Youth, adults): 15+"	Education (ISCED-11): 2. Lower secondary education	4476.273
2023	Male	"Age (Youth, adults): 15+"	Education (ISCED-11): 3. Upper secondary education	11122.314
2023	Male	"Age (Youth, adults): 15+"	Education (ISCED-11): 4. Post-secondary non-tertiary education	40.399
2023	Male	"Age (Youth, adults): 15+"	Education (ISCED-11): 5. Short-cycle tertiary education	2727.504
2023	Male	"Age (Youth, adults): 15+"	Education (ISCED-11): 6. Bachelor's or equivalent level	2241.875
2023	Male	"Age (Youth, adults): 15+"	Education (ISCED-11): 7. Master's or equivalent level	2951.604
2023	Male	"Age (Youth, adults): 15+"	Education (ISCED-11): 8. Doctoral or equivalent level	292.308
2023	Male	"Age (Youth, adults): 15+"	Education (ISCED-11): 9. Not elsewhere classified	745.804
2023	Male	"Age (Youth, adults): 15-64"	Education (ISCED-11): Total	19897.61
2023	Male	"Age (Youth, adults): 15-64"	Education (ISCED-11): 1. Primary education	491.824
2023	Male	"Age (Youth, adults): 15-64"	Education (ISCED-11): 2. Lower secondary education	3598.43
2023	Male	"Age (Youth, adults): 15-64"	Education (ISCED-11): 3. Upper secondary education	8663.888
2023	Male	"Age (Youth, adults): 15-64"	Education (ISCED-11): 4. Post-secondary non-tertiary education	26.54
2023	Male	"Age (Youth, adults): 15-64"	Education (ISCED-11): 5. Short-cycle tertiary education	2290.906
2023	Male	"Age (Youth, adults): 15-64"	Education (ISCED-11): 6. Bachelor's or equivalent level	1846.171
2023	Male	"Age (Youth, adults): 15-64"	Education (ISCED-11): 7. Master's or equivalent level	2470.533
2023	Male	"Age (Youth, adults): 15-64"	Education (ISCED-11): 8. Doctoral or equivalent level	214.786
2023	Male	"Age (Youth, adults): 15-64"	Education (ISCED-11): 9. Not elsewhere classified	294.533
2023	Male	"Age (Youth, adults): 15-24"	Education (ISCED-11): Total	3846.671
2023	Male	"Age (Youth, adults): 15-24"	Education (ISCED-11): 1. Primary education	36.394
2023	Male	"Age (Youth, adults): 15-24"	Education (ISCED-11): 2. Lower secondary education	1596.94
2023	Male	"Age (Youth, adults): 15-24"	Education (ISCED-11): 3. Upper secondary education	1611.509
2023	Male	"Age (Youth, adults): 15-24"	Education (ISCED-11): 4. Post-secondary non-tertiary education	
2023	Male	"Age (Youth, adults): 15-24"	Education (ISCED-11): 5. Short-cycle tertiary education	228.905
2023	Male	"Age (Youth, adults): 15-24"	Education (ISCED-11): 6. Bachelor's or equivalent level	244.77
2023	Male	"Age (Youth, adults): 15-24"	Education (ISCED-11): 7. Master's or equivalent level	62.044
2023	Male	"Age (Youth, adults): 15-24"	Education (ISCED-11): 8. Doctoral or equivalent level	
2023	Male	"Age (Youth, adults): 15-24"	Education (ISCED-11): 9. Not elsewhere classified	66.109
2023	Male	"Age (Youth, adults): 25+"	Education (ISCED-11): Total	22341.024
2023	Male	"Age (Youth, adults): 25+"	Education (ISCED-11): 1. Primary education	1553.22
2023	Male	"Age (Youth, adults): 25+"	Education (ISCED-11): 2. Lower secondary education	2879.334
2023	Male	"Age (Youth, adults): 25+"	Education (ISCED-11): 3. Upper secondary education	9510.806
2023	Male	"Age (Youth, adults): 25+"	Education (ISCED-11): 4. Post-secondary non-tertiary education	40.399
2023	Male	"Age (Youth, adults): 25+"	Education (ISCED-11): 5. Short-cycle tertiary education	2498.599
2023	Male	"Age (Youth, adults): 25+"	Education (ISCED-11): 6. Bachelor's or equivalent level	1997.105
2023	Male	"Age (Youth, adults): 25+"	Education (ISCED-11): 7. Master's or equivalent level	2889.56
2023	Male	"Age (Youth, adults): 25+"	Education (ISCED-11): 8. Doctoral or equivalent level	292.308
2023	Male	"Age (Youth, adults): 25+"	Education (ISCED-11): 9. Not elsewhere classified	679.695
2023	Female	"Age (Youth, adults): 15+"	Education (ISCED-11): Total	28594.173
2023	Female	"Age (Youth, adults): 15+"	Education (ISCED-11): 1. Primary education	2271.461
2023	Female	"Age (Youth, adults): 15+"	Education (ISCED-11): 2. Lower secondary education	4754.65
2023	Female	"Age (Youth, adults): 15+"	Education (ISCED-11): 3. Upper secondary education	10471.556
2023	Female	"Age (Youth, adults): 15+"	Education (ISCED-11): 4. Post-secondary non-tertiary education	55.418
2023	Female	"Age (Youth, adults): 15+"	Education (ISCED-11): 5. Short-cycle tertiary education	3528.754
2023	Female	"Age (Youth, adults): 15+"	Education (ISCED-11): 6. Bachelor's or equivalent level	3318.82
2023	Female	"Age (Youth, adults): 15+"	Education (ISCED-11): 7. Master's or equivalent level	2827.575
2023	Female	"Age (Youth, adults): 15+"	Education (ISCED-11): 8. Doctoral or equivalent level	193.041
2023	Female	"Age (Youth, adults): 15+"	Education (ISCED-11): 9. Not elsewhere classified	1172.898
2023	Female	"Age (Youth, adults): 15-64"	Education (ISCED-11): Total	20629.858
2023	Female	"Age (Youth, adults): 15-64"	Education (ISCED-11): 1. Primary education	459.467
2023	Female	"Age (Youth, adults): 15-64"	Education (ISCED-11): 2. Lower secondary education	3407.82
2023	Female	"Age (Youth, adults): 15-64"	Education (ISCED-11): 3. Upper secondary education	7960.89
2023	Female	"Age (Youth, adults): 15-64"	Education (ISCED-11): 4. Post-secondary non-tertiary education	41.291
2023	Female	"Age (Youth, adults): 15-64"	Education (ISCED-11): 5. Short-cycle tertiary education	2830.611
2023	Female	"Age (Youth, adults): 15-64"	Education (ISCED-11): 6. Bachelor's or equivalent level	2803.249
2023	Female	"Age (Youth, adults): 15-64"	Education (ISCED-11): 7. Master's or equivalent level	2616.785
2023	Female	"Age (Youth, adults): 15-64"	Education (ISCED-11): 8. Doctoral or equivalent level	159.052
2023	Female	"Age (Youth, adults): 15-64"	Education (ISCED-11): 9. Not elsewhere classified	350.693
2023	Female	"Age (Youth, adults): 15-24"	Education (ISCED-11): Total	3690.674
2023	Female	"Age (Youth, adults): 15-24"	Education (ISCED-11): 1. Primary education	15.065
2023	Female	"Age (Youth, adults): 15-24"	Education (ISCED-11): 2. Lower secondary education	1465.131
2023	Female	"Age (Youth, adults): 15-24"	Education (ISCED-11): 3. Upper secondary education	1525.14
2023	Female	"Age (Youth, adults): 15-24"	Education (ISCED-11): 4. Post-secondary non-tertiary education	1.322
2023	Female	"Age (Youth, adults): 15-24"	Education (ISCED-11): 5. Short-cycle tertiary education	185.339
2023	Female	"Age (Youth, adults): 15-24"	Education (ISCED-11): 6. Bachelor's or equivalent level	363.344
2023	Female	"Age (Youth, adults): 15-24"	Education (ISCED-11): 7. Master's or equivalent level	87.506
2023	Female	"Age (Youth, adults): 15-24"	Education (ISCED-11): 8. Doctoral or equivalent level	1.16
2023	Female	"Age (Youth, adults): 15-24"	Education (ISCED-11): 9. Not elsewhere classified	46.668
2023	Female	"Age (Youth, adults): 25+"	Education (ISCED-11): Total	24903.499
2023	Female	"Age (Youth, adults): 25+"	Education (ISCED-11): 1. Primary education	2256.396
2023	Female	"Age (Youth, adults): 25+"	Education (ISCED-11): 2. Lower secondary education	3289.519
2023	Female	"Age (Youth, adults): 25+"	Education (ISCED-11): 3. Upper secondary education	8946.417
2023	Female	"Age (Youth, adults): 25+"	Education (ISCED-11): 4. Post-secondary non-tertiary education	54.096
2023	Female	"Age (Youth, adults): 25+"	Education (ISCED-11): 5. Short-cycle tertiary education	3343.415
2023	Female	"Age (Youth, adults): 25+"	Education (ISCED-11): 6. Bachelor's or equivalent level	2955.477
2023	Female	"Age (Youth, adults): 25+"	Education (ISCED-11): 7. Master's or equivalent level	2740.068
2023	Female	"Age (Youth, adults): 25+"	Education (ISCED-11): 8. Doctoral or equivalent level	191.881
2023	Female	"Age (Youth, adults): 25+"	Education (ISCED-11): 9. Not elsewhere classified	1126.23
2023	Total	Age (Aggregate bands): Total	Education (Aggregate levels): Total	54781.868
2023	Total	Age (Aggregate bands): Total	Education (Aggregate levels): Basic	13091.998
2023	Total	Age (Aggregate bands): Total	Education (Aggregate levels): Intermediate	21689.688
2023	Total	Age (Aggregate bands): Total	Education (Aggregate levels): Advanced	18081.481
2023	Total	Age (Aggregate bands): Total	Education (Aggregate levels): Level not stated	1918.702
2023	Total	Age (Aggregate bands): 15-24	Education (Aggregate levels): Total	7537.345
2023	Total	Age (Aggregate bands): 15-24	Education (Aggregate levels): Basic	3113.53
2023	Total	Age (Aggregate bands): 15-24	Education (Aggregate levels): Intermediate	3137.97
2023	Total	Age (Aggregate bands): 15-24	Education (Aggregate levels): Advanced	1173.068
2023	Total	Age (Aggregate bands): 15-24	Education (Aggregate levels): Level not stated	112.777
2023	Total	Age (Aggregate bands): 25-54	Education (Aggregate levels): Total	24433.183
2023	Total	Age (Aggregate bands): 25-54	Education (Aggregate levels): Basic	2971.188
2023	Total	Age (Aggregate bands): 25-54	Education (Aggregate levels): Intermediate	9526.857
2023	Total	Age (Aggregate bands): 25-54	Education (Aggregate levels): Advanced	11587.052
2023	Total	Age (Aggregate bands): 25-54	Education (Aggregate levels): Level not stated	348.085
2023	Total	Age (Aggregate bands): 55-64	Education (Aggregate levels): Total	8556.941
2023	Total	Age (Aggregate bands): 55-64	Education (Aggregate levels): Basic	1872.823
2023	Total	Age (Aggregate bands): 55-64	Education (Aggregate levels): Intermediate	4027.781
2023	Total	Age (Aggregate bands): 55-64	Education (Aggregate levels): Advanced	2471.971
2023	Total	Age (Aggregate bands): 55-64	Education (Aggregate levels): Level not stated	184.365
2023	Total	Age (Aggregate bands): 65+	Education (Aggregate levels): Total	14254.4
2023	Total	Age (Aggregate bands): 65+	Education (Aggregate levels): Basic	5134.457
2023	Total	Age (Aggregate bands): 65+	Education (Aggregate levels): Intermediate	4997.079
2023	Total	Age (Aggregate bands): 65+	Education (Aggregate levels): Advanced	2849.389
2023	Total	Age (Aggregate bands): 65+	Education (Aggregate levels): Level not stated	1273.475
2023	Male	Age (Aggregate bands): Total	Education (Aggregate levels): Total	26187.696
2023	Male	Age (Aggregate bands): Total	Education (Aggregate levels): Basic	6065.887
2023	Male	Age (Aggregate bands): Total	Education (Aggregate levels): Intermediate	11162.713
2023	Male	Age (Aggregate bands): Total	Education (Aggregate levels): Advanced	8213.291
2023	Male	Age (Aggregate bands): Total	Education (Aggregate levels): Level not stated	745.804
2023	Male	Age (Aggregate bands): 15-24	Education (Aggregate levels): Total	3846.671
2023	Male	Age (Aggregate bands): 15-24	Education (Aggregate levels): Basic	1633.334
2023	Male	Age (Aggregate bands): 15-24	Education (Aggregate levels): Intermediate	1611.509
2023	Male	Age (Aggregate bands): 15-24	Education (Aggregate levels): Advanced	535.72
2023	Male	Age (Aggregate bands): 15-24	Education (Aggregate levels): Level not stated	66.109
2023	Male	Age (Aggregate bands): 25-54	Education (Aggregate levels): Total	11925.165
2023	Male	Age (Aggregate bands): 25-54	Education (Aggregate levels): Basic	1578.121
2023	Male	Age (Aggregate bands): 25-54	Education (Aggregate levels): Intermediate	5025.894
2023	Male	Age (Aggregate bands): 25-54	Education (Aggregate levels): Advanced	5162.782
2023	Male	Age (Aggregate bands): 25-54	Education (Aggregate levels): Level not stated	158.367
2023	Male	Age (Aggregate bands): 55-64	Education (Aggregate levels): Total	4125.775
2023	Male	Age (Aggregate bands): 55-64	Education (Aggregate levels): Basic	878.798
2023	Male	Age (Aggregate bands): 55-64	Education (Aggregate levels): Intermediate	2053.025
2023	Male	Age (Aggregate bands): 55-64	Education (Aggregate levels): Advanced	1123.894
2023	Male	Age (Aggregate bands): 55-64	Education (Aggregate levels): Level not stated	70.057
2023	Male	Age (Aggregate bands): 65+	Education (Aggregate levels): Total	6290.085
2023	Male	Age (Aggregate bands): 65+	Education (Aggregate levels): Basic	1975.634
2023	Male	Age (Aggregate bands): 65+	Education (Aggregate levels): Intermediate	2472.286
2023	Male	Age (Aggregate bands): 65+	Education (Aggregate levels): Advanced	1390.895
2023	Male	Age (Aggregate bands): 65+	Education (Aggregate levels): Level not stated	451.271
2023	Female	Age (Aggregate bands): Total	Education (Aggregate levels): Total	28594.173
2023	Female	Age (Aggregate bands): Total	Education (Aggregate levels): Basic	7026.111
2023	Female	Age (Aggregate bands): Total	Education (Aggregate levels): Intermediate	10526.974
2023	Female	Age (Aggregate bands): Total	Education (Aggregate levels): Advanced	9868.19
2023	Female	Age (Aggregate bands): Total	Education (Aggregate levels): Level not stated	1172.898
2023	Female	Age (Aggregate bands): 15-24	Education (Aggregate levels): Total	3690.674
2023	Female	Age (Aggregate bands): 15-24	Education (Aggregate levels): Basic	1480.196
2023	Female	Age (Aggregate bands): 15-24	Education (Aggregate levels): Intermediate	1526.461
2023	Female	Age (Aggregate bands): 15-24	Education (Aggregate levels): Advanced	637.349
2023	Female	Age (Aggregate bands): 15-24	Education (Aggregate levels): Level not stated	46.668
2023	Female	Age (Aggregate bands): 25-54	Education (Aggregate levels): Total	12508.018
2023	Female	Age (Aggregate bands): 25-54	Education (Aggregate levels): Basic	1393.067
2023	Female	Age (Aggregate bands): 25-54	Education (Aggregate levels): Intermediate	4500.963
2023	Female	Age (Aggregate bands): 25-54	Education (Aggregate levels): Advanced	6424.27
2023	Female	Age (Aggregate bands): 25-54	Education (Aggregate levels): Level not stated	189.718
2023	Female	Age (Aggregate bands): 55-64	Education (Aggregate levels): Total	4431.166
2023	Female	Age (Aggregate bands): 55-64	Education (Aggregate levels): Basic	994.025
2023	Female	Age (Aggregate bands): 55-64	Education (Aggregate levels): Intermediate	1974.756
2023	Female	Age (Aggregate bands): 55-64	Education (Aggregate levels): Advanced	1348.077
2023	Female	Age (Aggregate bands): 55-64	Education (Aggregate levels): Level not stated	114.308
2023	Female	Age (Aggregate bands): 65+	Education (Aggregate levels): Total	7964.315
2023	Female	Age (Aggregate bands): 65+	Education (Aggregate levels): Basic	3158.823
2023	Female	Age (Aggregate bands): 65+	Education (Aggregate levels): Intermediate	2524.794
2023	Female	Age (Aggregate bands): 65+	Education (Aggregate levels): Advanced	1458.494
2023	Female	Age (Aggregate bands): 65+	Education (Aggregate levels): Level not stated	822.205
2023	Total	Age (Aggregate bands): Total	Education (ISCED-11): Total	54781.868
2023	Total	Age (Aggregate bands): Total	Education (ISCED-11): 1. Primary education	3861.075
2023	Total	Age (Aggregate bands): Total	Education (ISCED-11): 2. Lower secondary education	9230.923
2023	Total	Age (Aggregate bands): Total	Education (ISCED-11): 3. Upper secondary education	21593.871
2023	Total	Age (Aggregate bands): Total	Education (ISCED-11): 4. Post-secondary non-tertiary education	95.817
2023	Total	Age (Aggregate bands): Total	Education (ISCED-11): 5. Short-cycle tertiary education	6256.258
2023	Total	Age (Aggregate bands): Total	Education (ISCED-11): 6. Bachelor's or equivalent level	5560.695
2023	Total	Age (Aggregate bands): Total	Education (ISCED-11): 7. Master's or equivalent level	5779.178
2023	Total	Age (Aggregate bands): Total	Education (ISCED-11): 8. Doctoral or equivalent level	485.349
2023	Total	Age (Aggregate bands): Total	Education (ISCED-11): 9. Not elsewhere classified	1918.702
2023	Total	Age (Aggregate bands): 15-24	Education (ISCED-11): Total	7537.345
2023	Total	Age (Aggregate bands): 15-24	Education (ISCED-11): 1. Primary education	51.459
2023	Total	Age (Aggregate bands): 15-24	Education (ISCED-11): 2. Lower secondary education	3062.071
2023	Total	Age (Aggregate bands): 15-24	Education (ISCED-11): 3. Upper secondary education	3136.648
2023	Total	Age (Aggregate bands): 15-24	Education (ISCED-11): 4. Post-secondary non-tertiary education	1.322
2023	Total	Age (Aggregate bands): 15-24	Education (ISCED-11): 5. Short-cycle tertiary education	414.244
2023	Total	Age (Aggregate bands): 15-24	Education (ISCED-11): 6. Bachelor's or equivalent level	608.114
2023	Total	Age (Aggregate bands): 15-24	Education (ISCED-11): 7. Master's or equivalent level	149.55
2023	Total	Age (Aggregate bands): 15-24	Education (ISCED-11): 8. Doctoral or equivalent level	1.16
2023	Total	Age (Aggregate bands): 15-24	Education (ISCED-11): 9. Not elsewhere classified	112.777
2023	Total	Age (Aggregate bands): 25-54	Education (ISCED-11): Total	24433.183
2023	Total	Age (Aggregate bands): 25-54	Education (ISCED-11): 1. Primary education	466.363
2023	Total	Age (Aggregate bands): 25-54	Education (ISCED-11): 2. Lower secondary education	2504.825
2023	Total	Age (Aggregate bands): 25-54	Education (ISCED-11): 3. Upper secondary education	9473.107
2023	Total	Age (Aggregate bands): 25-54	Education (ISCED-11): 4. Post-secondary non-tertiary education	53.75
2023	Total	Age (Aggregate bands): 25-54	Education (ISCED-11): 5. Short-cycle tertiary education	3652.679
2023	Total	Age (Aggregate bands): 25-54	Education (ISCED-11): 6. Bachelor's or equivalent level	3354.987
2023	Total	Age (Aggregate bands): 25-54	Education (ISCED-11): 7. Master's or equivalent level	4304.19
2023	Total	Age (Aggregate bands): 25-54	Education (ISCED-11): 8. Doctoral or equivalent level	275.197
2023	Total	Age (Aggregate bands): 25-54	Education (ISCED-11): 9. Not elsewhere classified	348.085
2023	Total	Age (Aggregate bands): 55-64	Education (ISCED-11): Total	8556.941
2023	Total	Age (Aggregate bands): 55-64	Education (ISCED-11): 1. Primary education	433.469
2023	Total	Age (Aggregate bands): 55-64	Education (ISCED-11): 2. Lower secondary education	1439.354
2023	Total	Age (Aggregate bands): 55-64	Education (ISCED-11): 3. Upper secondary education	4015.022
2023	Total	Age (Aggregate bands): 55-64	Education (ISCED-11): 4. Post-secondary non-tertiary education	12.759
2023	Total	Age (Aggregate bands): 55-64	Education (ISCED-11): 5. Short-cycle tertiary education	1054.595
2023	Total	Age (Aggregate bands): 55-64	Education (ISCED-11): 6. Bachelor's or equivalent level	686.319
2023	Total	Age (Aggregate bands): 55-64	Education (ISCED-11): 7. Master's or equivalent level	633.577
2023	Total	Age (Aggregate bands): 55-64	Education (ISCED-11): 8. Doctoral or equivalent level	97.481
2023	Total	Age (Aggregate bands): 55-64	Education (ISCED-11): 9. Not elsewhere classified	184.365
2023	Total	Age (Aggregate bands): 65+	Education (ISCED-11): Total	14254.4
2023	Total	Age (Aggregate bands): 65+	Education (ISCED-11): 1. Primary education	2909.784
2023	Total	Age (Aggregate bands): 65+	Education (ISCED-11): 2. Lower secondary education	2224.673
2023	Total	Age (Aggregate bands): 65+	Education (ISCED-11): 3. Upper secondary education	4969.093
2023	Total	Age (Aggregate bands): 65+	Education (ISCED-11): 4. Post-secondary non-tertiary education	27.986
2023	Total	Age (Aggregate bands): 65+	Education (ISCED-11): 5. Short-cycle tertiary education	1134.741
2023	Total	Age (Aggregate bands): 65+	Education (ISCED-11): 6. Bachelor's or equivalent level	911.276
2023	Total	Age (Aggregate bands): 65+	Education (ISCED-11): 7. Master's or equivalent level	691.861
